epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.1012431474832387,34.48275862068966,1.1063215732574463,8.0,5e-05
2,1.0954293287717378,36.94581280788177,1.111872673034668,20.0,5e-05
3,1.0936142114492564,36.94581280788177,1.1152373552322388,16.0,5e-05
4,1.0957366961699266,37.4384236453202,1.118152379989624,16.0,5e-05
5,1.0876493545678945,41.87192118226601,1.1197905540466309,16.0,5e-05
6,1.0924214674876287,35.467980295566505,1.1216671466827393,24.0,5e-05
7,1.0860190116442168,40.88669950738916,1.125302791595459,16.0,5e-05
8,1.087586054435143,38.916256157635466,1.1262192726135254,24.0,5e-05
9,1.0843438185178316,39.40886699507389,1.127371907234192,24.0,5e-05
10,1.0843585271101732,37.4384236453202,1.1291886568069458,28.0,5e-05
11,1.084084391593933,38.423645320197046,1.131044864654541,36.0,5e-05
12,1.0856505173903246,39.40886699507389,1.131945252418518,36.0,5e-05
13,1.0868183007607093,41.87192118226601,1.1305263042449951,36.0,5e-05
14,1.0802690249222975,43.34975369458128,1.1294505596160889,36.0,5e-05
15,1.0833840370178223,41.87192118226601,1.1288659572601318,40.0,5e-05
