epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.0965521080153329,30.8411214953271,1.1116536855697632,25.0,5e-05
2,1.0929110135350908,35.51401869158879,1.1224796772003174,25.0,5e-05
3,1.087503731250763,37.850467289719624,1.120688796043396,25.0,5e-05
4,1.0879646965435572,39.25233644859813,1.1198339462280273,25.0,5e-05
5,1.0810258558818273,39.25233644859813,1.1182949542999268,31.25,5e-05
6,1.085193157196045,42.05607476635514,1.1154042482376099,43.75,5e-05
7,1.0776159848485674,43.45794392523364,1.1096115112304688,56.25,5e-05
8,1.0804024849619185,42.05607476635514,1.1057950258255005,56.25,5e-05
9,1.078841541494642,40.654205607476634,1.0965358018875122,56.25,5e-05
10,1.0700084396771021,49.06542056074766,1.0861173868179321,56.25,5e-05
11,1.0715464694159371,44.39252336448598,1.0853580236434937,56.25,2.5e-05
12,1.0618727973529272,48.13084112149533,1.0825999975204468,50.0,2.5e-05
